country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_farm,abs_reason_market,abs_reason_other,abs_reason_travelled,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
GNB,OIO,LOTE 15,GNBnOPV,nOPV2,Rnd1,21,2022-04-27T00:00:00Z,2022-05-01,2022-05-03,22,38,60,22,36,58,2,Pass,high,0,0,1,1,0,0,0,0,0,0,1,0,0,0,50,50,0,0,0,0.03
GNB,OIO,LOTE 15,GNBnOPV,nOPV2,Rnd2,21,2022-06-22T00:00:00Z,2022-06-26,2022-06-27,33,27,60,32,27,59,1,Pass,high,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.02
GNB,OIO,LOTE 16,GNBnOPV,nOPV2,Rnd1,12,2022-04-27T00:00:00Z,2022-05-01,2022-05-02,26,34,60,25,32,57,3,Pass,high,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,100,0,0.05
GNB,OIO,LOTE 16,GNBnOPV,nOPV2,Rnd2,21,2022-06-22T00:00:00Z,2022-06-26,2022-06-27,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,QUINARA,LOTE 17,GNBnOPV,nOPV2,Rnd1,21,2022-04-27T00:00:00Z,2022-05-01,2022-05-02,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,QUINARA,LOTE 17,GNBnOPV,nOPV2,Rnd2,21,2022-06-22T00:00:00Z,2022-06-26,2022-06-27,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,SECTEUR AUTONOM DE BISSAU,LOTE 18,GNBnOPV,nOPV2,Rnd1,6,2022-04-27T00:00:00Z,2022-05-01,2022-05-02,16,44,60,16,42,58,2,Pass,high,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,100,0,0.03
GNB,SECTEUR AUTONOM DE BISSAU,LOTE 18,GNBnOPV,nOPV2,Rnd2,21,2022-06-22T00:00:00Z,2022-06-26,2022-06-27,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,SECTEUR AUTONOM DE BISSAU,LOTE 19,GNBnOPV,nOPV2,Rnd1,23,2022-04-27T00:00:00Z,2022-05-01,2022-05-02,29,31,60,28,30,58,2,Pass,high,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,100,0.03
GNB,SECTEUR AUTONOM DE BISSAU,LOTE 19,GNBnOPV,nOPV2,Rnd2,6,2022-06-22T00:00:00Z,2022-06-26,2022-06-27,34,26,60,34,26,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,SECTEUR AUTONOM DE BISSAU,LOTE 20,GNBnOPV,nOPV2,Rnd1,14,2022-04-27T00:00:00Z,2022-05-01,2022-05-02,36,24,60,36,23,59,1,Pass,high,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0.02
GNB,SECTEUR AUTONOM DE BISSAU,LOTE 20,GNBnOPV,nOPV2,Rnd2,21,2022-06-22T00:00:00Z,2022-06-26,2022-06-27,32,28,60,31,26,57,3,Pass,high,0,0,1,0,0,0,2,0,0,0,1,0,0,0,33.33,0,0,0,66.67,0.05
GNB,TOMBALI,LOTE 21,GNBnOPV,nOPV2,Rnd1,20,2022-04-27T00:00:00Z,2022-05-01,2022-05-02,30,30,60,30,28,58,2,Pass,high,0,0,1,0,0,1,0,0,1,0,0,0,0,0,50,0,0,50,0,0.03
GNB,TOMBALI,LOTE 21,GNBnOPV,nOPV2,Rnd2,21,2022-06-22T00:00:00Z,2022-06-26,2022-06-27,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,TOMBALI,LOTE 22,GNBnOPV,nOPV2,Rnd1,21,2022-04-27T00:00:00Z,2022-05-01,2022-05-02,31,29,60,22,23,45,15,Fail,poor,0,1,6,0,0,8,0,0,5,0,1,0,0,6.67,40,0,0,53.33,0,0.25
GNB,TOMBALI,LOTE 22,GNBnOPV,nOPV2,Rnd2,21,2022-06-22T00:00:00Z,2022-06-26,2022-06-28,38,22,60,38,22,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
