country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_Non_Compliance,r_House_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_Giver_Informed_SIA,abs_reason_travelled,abs_reason_market,abs_reason_school,abs_reason_other,abs_reason_farm,abs_reason_in_playground,nc_reason_no_felt_need,nc_reason_nopvconcern,nc_reason_vaccines_safety,nc_reason_religious_cultural,nc_reason_others,nc_reason_too_many_rnd,nc_reason_child_sick,nc_reason_no_care_giver_consent,prct_r_Non_Compliance,prct_r_House_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
UGA,ARUA,TEREGO,UGAnOPV,nOPV2,Rnd2,21,2022-11-07T00:00:00Z,2022-11-11,2022-11-14,32,28,60,30,27,57,3,Pass,high,0,0,1,0,0,1,1,88.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,33.33,33.33,0.05
UGA,ARUA,YUMBE,UGAnOPV,nOPV2,Rnd2,21,2022-11-08T00:00:00Z,2022-11-12,2022-11-13,39,21,60,37,19,56,4,Fail,moderate,0,1,1,0,0,0,2,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,50,0.07
UGA,ARUA,ZOMBO DISTRICT,UGAnOPV,nOPV2,Rnd2,24,2022-11-07T00:00:00Z,2022-11-11,2022-11-13,31,29,60,25,26,51,9,Fail,poor,1,0,3,0,0,0,5,93.33,1,1,1,0,0,0,0,1,0,0,0,0,0,0,11.11,0,33.33,0,0,0,55.56,0.15
UGA,GREATER KAMPALA,BUIKWE DISTRICT,UGAnOPV,nOPV2,Rnd1,21,2022-01-19T00:00:00Z,2022-01-23,2022-01-24,24,36,60,16,28,44,16,Fail,poor,0,7,7,0,0,0,2,95,3,0,1,1,0,2,0,0,0,0,0,0,0,0,0,43.75,43.75,0,0,0,12.5,0.27
UGA,GREATER KAMPALA,BUIKWE DISTRICT,UGAnOPV,nOPV2,Rnd2,21,2022-11-07T00:00:00Z,2022-11-11,2022-11-15,33,27,60,32,27,59,1,Pass,high,0,0,1,0,0,0,0,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
UGA,GREATER KAMPALA,BUTAMBALA DISTRICT,UGAnOPV,nOPV2,Rnd2,21,2022-11-07T00:00:00Z,2022-11-11,2022-11-12,33,27,60,23,23,46,14,Fail,poor,0,3,3,0,0,0,8,70,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21.43,21.43,0,0,0,57.14,0.23
UGA,GREATER KAMPALA,BUVUMA DISTRICT,UGAnOPV,nOPV2,Rnd1,21,2022-01-17T00:00:00Z,2022-01-21,2022-01-28,36,24,60,34,24,58,2,Pass,high,0,0,1,0,0,0,1,93.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0.03
UGA,GREATER KAMPALA,BUVUMA DISTRICT,UGAnOPV,nOPV2,Rnd2,21,2022-11-07T00:00:00Z,2022-11-11,2022-11-14,26,34,60,25,34,59,1,Pass,high,0,0,1,0,0,0,0,85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
UGA,GREATER KAMPALA,CENTRAL DIVISION,UGAnOPV,nOPV2,Rnd1,21,2022-01-19T00:00:00Z,2022-01-23,2022-01-25,30,30,60,26,28,54,6,Fail,moderate,3,0,1,0,0,2,0,88.33,1,0,0,0,0,0,0,1,2,0,0,0,0,0,50,0,16.67,0,0,33.33,0,0.1
UGA,GREATER KAMPALA,CENTRAL DIVISION,UGAnOPV,nOPV2,Rnd2,21,2023-02-17T00:00:00Z,2023-02-21,2023-02-25,26,34,60,24,34,58,2,Pass,high,0,0,0,0,0,0,2,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.03
UGA,GREATER KAMPALA,ENTEBBE DIVISION,UGAnOPV,nOPV2,Rnd2,21,2023-01-31T00:00:00Z,2023-02-04,2023-02-06,32,28,60,24,22,46,14,Fail,poor,2,11,0,0,0,1,0,55,0,0,0,0,0,0,0,1,1,0,0,0,0,0,14.29,78.57,0,0,0,7.14,0,0.23
UGA,GREATER KAMPALA,GOMBA DISTRICT,UGAnOPV,nOPV2,Rnd1,21,2022-01-17T00:00:00Z,2022-01-21,2022-01-23,34,26,60,33,26,59,1,Pass,high,0,0,1,0,0,0,0,98.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
UGA,GREATER KAMPALA,GOMBA DISTRICT,UGAnOPV,nOPV2,Rnd2,21,2022-11-07T00:00:00Z,2022-11-11,2022-11-12,29,31,60,29,29,58,2,Pass,high,1,0,1,0,0,0,0,96.67,1,0,0,0,0,0,0,0,0,1,0,0,0,0,50,0,50,0,0,0,0,0.03
UGA,GREATER KAMPALA,KAWEMPE DIVISION,UGAnOPV,nOPV2,Rnd1,21,2022-01-17T00:00:00Z,2022-01-21,2022-01-25,23,37,60,7,15,22,38,Fail,very poor,3,3,2,5,2,19,4,85,0,0,0,2,0,0,2,0,0,0,1,0,0,0,7.89,7.89,5.26,13.16,5.26,50,10.53,0.63
UGA,GREATER KAMPALA,KAWEMPE DIVISION,UGAnOPV,nOPV2,Rnd2,21,2023-02-20T00:00:00Z,2023-02-24,2023-02-25,32,28,60,18,16,34,26,Fail,very poor,2,3,7,5,1,1,7,75,0,0,3,0,0,4,0,1,0,0,0,1,0,0,7.69,11.54,26.92,19.23,3.85,3.85,26.92,0.43
UGA,GREATER KAMPALA,KAYUNGA DISTRICT,UGAnOPV,nOPV2,Rnd1,21,2022-01-17T00:00:00Z,2022-01-21,2022-01-23,25,35,60,20,29,49,11,Fail,poor,0,0,1,0,0,10,0,98.33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,90.91,0,0.18
UGA,GREATER KAMPALA,KAYUNGA DISTRICT,UGAnOPV,nOPV2,Rnd2,21,2022-11-10T00:00:00Z,2022-11-14,2022-11-17,27,33,60,15,16,31,29,Fail,very poor,0,1,0,0,0,3,25,98.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,10.34,86.21,0.48
UGA,GREATER KAMPALA,MAKINDYE DIVISION,UGAnOPV,nOPV2,Rnd1,21,2022-01-17T00:00:00Z,2022-01-21,2022-01-26,33,27,60,20,20,40,20,Fail,very poor,0,4,0,0,0,4,12,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,60,0.33
UGA,GREATER KAMPALA,MAKINDYE DIVISION,UGAnOPV,nOPV2,Rnd2,21,2023-02-21T00:00:00Z,2023-02-25,2023-02-28,36,24,60,33,21,54,6,Fail,moderate,1,1,0,0,0,2,2,93.33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.67,16.67,0,0,0,33.33,33.33,0.1
UGA,GREATER KAMPALA,MPIGI,UGAnOPV,nOPV2,Rnd2,21,2022-11-09T00:00:00Z,2022-11-13,2022-11-14,36,24,60,23,9,32,28,Fail,very poor,1,26,0,0,0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.57,92.86,0,0,0,0,3.57,0.47
UGA,GREATER KAMPALA,MUKONO DISTRICT,UGAnOPV,nOPV2,Rnd2,21,2023-01-30T00:00:00Z,2023-02-03,2023-02-06,30,30,60,27,28,55,5,Fail,moderate,0,3,2,0,0,0,0,83.33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,0,0,0,0,0.08
UGA,GREATER KAMPALA,NAKAWA DIVISION,UGAnOPV,nOPV2,Rnd1,21,2022-01-18T00:00:00Z,2022-01-22,2022-01-25,30,30,60,26,28,54,6,Fail,moderate,0,0,2,0,0,2,2,91.67,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,33.33,33.33,0.1
UGA,GREATER KAMPALA,NAKAWA DIVISION,UGAnOPV,nOPV2,Rnd2,21,2023-02-20T00:00:00Z,2023-02-24,2023-02-25,34,26,60,33,22,55,5,Fail,moderate,2,0,0,0,0,1,2,43.33,0,0,0,0,0,0,0,0,1,0,0,0,0,1,40,0,0,0,0,20,40,0.08
UGA,GREATER KAMPALA,RUBAGA DIVISION,UGAnOPV,nOPV2,Rnd1,21,2022-01-20T00:00:00Z,2022-01-24,2022-01-25,29,31,60,23,24,47,13,Fail,poor,4,2,2,1,0,4,0,100,1,0,1,0,0,0,1,0,1,0,1,1,0,0,30.77,15.38,15.38,7.69,0,30.77,0,0.22
UGA,GREATER KAMPALA,RUBAGA DIVISION,UGAnOPV,nOPV2,Rnd2,21,2023-02-20T00:00:00Z,2023-02-24,2023-02-26,27,33,60,24,30,54,6,Fail,moderate,4,2,0,0,0,0,0,83.33,0,0,0,0,0,0,0,0,0,0,0,0,0,4,66.67,33.33,0,0,0,0,0,0.1
UGA,GREATER KAMPALA,WAKISO DISTRICT,UGAnOPV,nOPV2,Rnd1,21,2022-01-17T00:00:00Z,2022-01-21,2022-01-25,34,26,60,29,23,52,8,Fail,moderate,0,7,1,0,0,0,0,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,87.5,12.5,0,0,0,0,0.13
UGA,GREATER KAMPALA,WAKISO DISTRICT,UGAnOPV,nOPV2,Rnd2,18,2023-01-30T00:00:00Z,2023-02-03,2023-02-06,37,23,60,34,20,54,6,Fail,moderate,0,2,0,2,0,1,1,88.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,33.33,0,16.67,16.67,0.1
UGA,GULU,AGAGO,UGAnOPV,nOPV2,Rnd2,22,2022-11-06T00:00:00Z,2022-11-10,2022-11-12,35,25,60,34,24,58,2,Pass,high,0,0,0,0,0,0,2,93.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.03
UGA,GULU,AMURU DISTRICT,UGAnOPV,nOPV2,Rnd1,21,2022-01-21T00:00:00Z,2022-01-25,2022-01-26,21,39,60,9,20,29,31,Fail,very poor,0,12,6,0,0,12,1,83.33,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.71,19.35,0,0,38.71,3.23,0.52
UGA,GULU,AMURU DISTRICT,UGAnOPV,nOPV2,Rnd2,24,2022-11-06T00:00:00Z,2022-11-10,2022-11-14,26,34,60,16,25,41,19,Fail,poor,0,0,7,0,0,1,11,86.67,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,36.84,0,0,5.26,57.89,0.32
UGA,GULU,GULU,UGAnOPV,nOPV2,Rnd2,21,2022-11-06T00:00:00Z,2022-11-10,2022-11-12,30,30,60,22,20,42,18,Fail,poor,0,1,7,0,0,10,0,100,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,5.56,38.89,0,0,55.56,0,0.3
UGA,GULU,GULU CITY,UGAnOPV,nOPV2,Rnd2,21,2022-11-06T00:00:00Z,2022-11-10,2022-11-11,29,31,60,28,30,58,2,Pass,high,0,0,1,0,0,1,0,96.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0.03
UGA,GULU,KITGUM DISTRICT,UGAnOPV,nOPV2,Rnd1,23,2022-01-17T00:00:00Z,2022-01-21,2022-01-22,25,35,60,20,27,47,13,Fail,poor,0,0,0,1,0,12,0,98.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,92.31,0,0.22
UGA,GULU,KITGUM DISTRICT,UGAnOPV,nOPV2,Rnd2,21,2022-11-07T00:00:00Z,2022-11-11,2022-11-13,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGA,GULU,LAMWO DISTRICT,UGAnOPV,nOPV2,Rnd1,21,2022-01-19T00:00:00Z,2022-01-23,2022-01-24,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGA,GULU,LAMWO DISTRICT,UGAnOPV,nOPV2,Rnd2,21,2022-11-06T00:00:00Z,2022-11-10,2022-11-11,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGA,GULU,NWOYA DISTRICT,UGAnOPV,nOPV2,Rnd1,21,2022-01-18T00:00:00Z,2022-01-22,2022-01-23,29,31,60,25,23,48,12,Fail,poor,0,2,1,0,0,9,0,81.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,8.33,0,0,75,0,0.2
UGA,GULU,NWOYA DISTRICT,UGAnOPV,nOPV2,Rnd2,21,2022-11-08T00:00:00Z,2022-11-12,2022-11-13,33,27,60,31,26,57,3,Pass,high,0,0,0,0,0,1,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,66.67,0.05
UGA,GULU,OMORO,UGAnOPV,nOPV2,Rnd2,21,2022-11-08T00:00:00Z,2022-11-12,2022-11-13,29,31,60,23,26,49,11,Fail,poor,0,0,6,0,0,0,5,100,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54.55,0,0,0,45.45,0.18
UGA,GULU,PADER,UGAnOPV,nOPV2,Rnd2,9,2022-11-06T00:00:00Z,2022-11-10,2022-11-12,30,30,60,29,29,58,2,Pass,high,0,0,0,0,0,2,0,93.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.03
UGA,HOIMA,BULIISA DISTRICT,UGAnOPV,nOPV2,Rnd1,21,2022-01-21T00:00:00Z,2022-01-25,2022-01-28,28,32,60,27,29,56,4,Fail,moderate,0,3,1,0,0,0,0,83.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,25,0,0,0,0,0.07
UGA,HOIMA,BULIISA DISTRICT,UGAnOPV,nOPV2,Rnd2,21,2022-11-05T00:00:00Z,2022-11-09,2022-11-12,26,34,60,25,32,57,3,Pass,high,0,0,0,0,0,2,1,76.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,33.33,0.05
UGA,HOIMA,HOIMA CITY,UGAnOPV,nOPV2,Rnd2,21,2022-11-10T00:00:00Z,2022-11-14,2022-11-15,30,30,60,22,24,46,14,Fail,poor,0,2,2,0,0,4,6,100,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,28.57,42.86,0.23
UGA,HOIMA,HOIMA DISTRICT,UGAnOPV,nOPV2,Rnd1,21,2022-01-18T00:00:00Z,2022-01-22,2022-01-26,28,32,60,19,16,35,25,Fail,very poor,0,2,5,3,0,3,12,93.33,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,8,20,12,0,12,48,0.42
UGA,HOIMA,HOIMA DISTRICT,UGAnOPV,nOPV2,Rnd2,21,2022-11-08T00:00:00Z,2022-11-12,2022-11-15,26,34,60,14,18,32,28,Fail,very poor,0,4,1,1,0,11,11,78.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,3.57,3.57,0,39.29,39.29,0.47
UGA,HOIMA,KAGADI,UGAnOPV,nOPV2,Rnd2,21,2022-11-08T00:00:00Z,2022-11-12,2022-11-15,31,29,60,28,26,54,6,Fail,moderate,1,1,0,0,0,2,2,86.67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.67,16.67,0,0,0,33.33,33.33,0.1
UGA,HOIMA,KAKUMIRO DISTRICT,UGAnOPV,nOPV2,Rnd1,21,2022-01-19T00:00:00Z,2022-01-23,2022-01-24,37,23,60,27,13,40,20,Fail,very poor,0,8,2,0,0,10,0,86.67,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,40,10,0,0,50,0,0.33
UGA,HOIMA,KAKUMIRO DISTRICT,UGAnOPV,nOPV2,Rnd2,21,2022-11-12T00:00:00Z,2022-11-16,2022-11-17,30,30,60,23,22,45,15,Fail,poor,0,0,2,0,0,4,9,78.33,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.33,0,0,26.67,60,0.25
UGA,HOIMA,KIBAALE,UGAnOPV,nOPV2,Rnd2,19,2022-11-05T00:00:00Z,2022-11-09,2022-11-10,29,31,60,15,26,41,19,Fail,poor,0,9,0,0,0,5,5,91.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.37,0,0,0,26.32,26.32,0.32
UGA,HOIMA,KIKUUBE DISTRICT,UGAnOPV,nOPV2,Rnd1,22,2022-01-17T00:00:00Z,2022-01-21,2022-01-24,31,29,60,27,26,53,7,Fail,moderate,0,2,1,0,0,0,4,83.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,14.29,0,0,0,57.14,0.12
UGA,HOIMA,KIKUUBE DISTRICT,UGAnOPV,nOPV2,Rnd2,21,2022-11-08T00:00:00Z,2022-11-12,2022-11-14,29,31,60,28,29,57,3,Pass,high,0,0,2,0,0,0,1,66.67,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,66.67,0,0,0,33.33,0.05
UGA,HOIMA,KIRYANDONGO,UGAnOPV,nOPV2,Rnd2,21,2022-11-11T00:00:00Z,2022-11-15,2022-11-16,33,27,60,26,19,45,15,Fail,poor,0,0,5,0,0,2,8,78.33,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,13.33,53.33,0.25
UGA,HOIMA,MASINDI DISTRICT,UGAnOPV,nOPV2,Rnd1,21,2022-01-18T00:00:00Z,2022-01-22,2022-01-23,28,32,60,20,21,41,19,Fail,poor,0,1,0,0,0,16,2,73.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,84.21,10.53,0.32
UGA,HOIMA,MASINDI DISTRICT,UGAnOPV,nOPV2,Rnd2,21,2022-11-05T00:00:00Z,2022-11-09,2022-11-11,32,28,60,26,21,47,13,Fail,poor,0,0,5,0,0,6,2,80,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,38.46,0,0,46.15,15.38,0.22
UGA,JINJA,BUGIRI,UGA-2024-08-01_nOPV,nOPV2,Rnd1,23,2024-10-02T00:00:00Z,2024-10-06,2024-10-07,26,34,60,25,32,57,3,Pass,high,0,0,0,0,0,2,1,88.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,33.33,0.05
UGA,JINJA,BUGIRI,UGA-2024-08-01_nOPV,nOPV2,Rnd2,21,2024-11-09T00:00:00Z,2024-11-13,2024-11-14,29,31,60,28,31,59,1,Pass,high,0,1,0,0,0,0,0,96.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.02
UGA,JINJA,BUGIRI,UGAnOPV,nOPV2,Rnd2,24,2022-11-05T00:00:00Z,2022-11-09,2022-11-10,28,32,60,26,30,56,4,Fail,moderate,0,0,0,0,0,2,2,78.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0.07
UGA,JINJA,BUGWERI,UGA-2024-08-01_nOPV,nOPV2,Rnd1,21,2024-10-02T00:00:00Z,2024-10-06,2024-10-07,28,32,60,27,30,57,3,Pass,high,0,0,1,0,0,2,0,85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,66.67,0,0.05
UGA,JINJA,BUGWERI,UGA-2024-08-01_nOPV,nOPV2,Rnd2,21,2024-11-09T00:00:00Z,2024-11-13,2024-11-14,37,23,60,36,20,56,4,Fail,moderate,0,3,0,0,0,1,0,51.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,25,0,0.07
UGA,JINJA,BUGWERI DISTRICT,UGAnOPV,nOPV2,Rnd2,21,2022-11-07T00:00:00Z,2022-11-11,2022-11-13,31,29,60,30,28,58,2,Pass,high,0,0,0,0,0,0,2,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.03
UGA,JINJA,BUYENDE,UGA-2024-08-01_nOPV,nOPV2,Rnd1,21,2024-10-02T00:00:00Z,2024-10-06,2024-10-07,41,19,60,37,16,53,7,Fail,moderate,0,6,1,0,0,0,0,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.71,14.29,0,0,0,0,0.12
UGA,JINJA,BUYENDE,UGA-2024-08-01_nOPV,nOPV2,Rnd2,21,2024-11-09T00:00:00Z,2024-11-13,2024-11-14,26,34,60,26,34,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGA,JINJA,BUYENDE DISTRICT,UGAnOPV,nOPV2,Rnd2,21,2022-11-07T00:00:00Z,2022-11-11,2022-11-12,32,28,60,32,27,59,1,Pass,high,0,0,1,0,0,0,0,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
UGA,JINJA,IGANGA,UGA-2024-08-01_nOPV,nOPV2,Rnd1,21,2024-10-02T00:00:00Z,2024-10-06,2024-10-07,39,21,60,38,20,58,2,Pass,high,0,0,0,0,0,0,2,96.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.03
UGA,JINJA,IGANGA,UGA-2024-08-01_nOPV,nOPV2,Rnd2,21,2024-11-09T00:00:00Z,2024-11-13,2024-11-14,34,26,60,34,25,59,1,Pass,high,0,0,0,0,0,0,1,96.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.02
UGA,JINJA,IGANGA DISTRICT,UGAnOPV,nOPV2,Rnd2,21,2022-11-06T00:00:00Z,2022-11-10,2022-11-13,26,34,60,24,28,52,8,Fail,moderate,1,0,2,0,0,4,1,100,1,1,0,0,0,0,1,0,0,0,0,0,0,0,12.5,0,25,0,0,50,12.5,0.13
