country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_travelled,abs_reason_other,abs_reason_market,abs_reason_school,nc_reason_others,nc_reason_child_sick,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
ALG,ADRAR,EPSP AOULEF,ALG-2023-09-01_nOPV,nOPV2,Rnd1,21,2024-06-28T00:00:00Z,2024-07-02,2024-08-02,26,34,60,26,34,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ADRAR,EPSP AOULEF,ALG-2024-01-01_nOPV,nOPV2,Rnd1,21,2024-01-28T00:00:00Z,2024-02-01,2024-02-02,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ADRAR,EPSP AOULEF,nOPV2022,nOPV2,Rnd1,21,2022-12-10T00:00:00Z,2022-12-14,2022-12-16,20,40,60,17,28,45,15,Fail,poor,0,0,1,0,0,0,14,0,0,1,0,0,6,0,0,0,6.67,0,0,0,93.33,0.25
ALG,ADRAR,EPSP AOULEF,nOPV2022,nOPV2,Rnd2,21,2023-01-22T00:00:00Z,2023-01-26,2023-01-28,40,20,60,34,19,53,7,Fail,moderate,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,100,0.12
ALG,ADRAR,EPSP AOULEF,nOPV2022,nOPV2,Rnd3,21,2023-03-20T00:00:00Z,2023-03-24,2023-03-25,34,26,60,34,26,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ADRAR,EPSP BADJI MOKHTAR,ALG-2023-09-01_nOPV,nOPV2,Rnd1,21,2024-06-28T00:00:00Z,2024-07-02,2024-07-02,30,30,60,26,28,54,6,Fail,moderate,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,100,0.1
ALG,ADRAR,EPSP BADJI MOKHTAR,ALG-2024-01-01_nOPV,nOPV2,Rnd1,20,2024-01-28T00:00:00Z,2024-02-01,2024-02-02,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ADRAR,EPSP BADJI MOKHTAR,nOPV2022,nOPV2,Rnd1,27,2022-12-12T00:00:00Z,2022-12-16,2022-12-17,34,26,60,26,14,40,20,Fail,very poor,0,0,2,0,0,0,18,0,2,0,0,0,0,0,0,0,10,0,0,0,90,0.33
ALG,ADRAR,EPSP BADJI MOKHTAR,nOPV2022,nOPV2,Rnd2,22,2023-01-25T00:00:00Z,2023-01-29,2023-01-30,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ADRAR,EPSP REGGANE,ALG-2023-09-01_nOPV,nOPV2,Rnd1,21,2024-06-28T00:00:00Z,2024-07-02,2024-08-02,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ADRAR,EPSP REGGANE,ALG-2024-01-01_nOPV,nOPV2,Rnd1,21,2024-01-28T00:00:00Z,2024-02-01,2024-02-02,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ADRAR,EPSP REGGANE,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,21,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ADRAR,EPSP REGGANE,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,21,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,31,29,60,31,28,59,1,Pass,high,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.02
ALG,ADRAR,EPSP REGGANE,nOPV2022,nOPV2,Rnd1,14,2022-12-10T00:00:00Z,2022-12-14,2022-12-15,19,41,60,18,38,56,4,Fail,moderate,0,0,3,0,0,0,1,0,1,2,0,0,0,0,0,0,75,0,0,0,25,0.07
ALG,ADRAR,EPSP REGGANE,nOPV2022,nOPV2,Rnd2,21,2023-01-25T00:00:00Z,2023-01-29,2023-01-30,31,29,60,29,27,56,4,Fail,moderate,0,0,3,0,0,0,1,0,0,3,0,0,0,0,0,0,75,0,0,0,25,0.07
ALG,ADRAR,EPSP REGGANE,nOPV2022,nOPV2,Rnd3,21,2023-03-20T00:00:00Z,2023-03-24,2023-03-25,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ADRAR,EPSP TIMIMOUN,ALG-2023-09-01_nOPV,nOPV2,Rnd1,21,2024-06-28T00:00:00Z,2024-07-02,2024-08-02,30,30,60,22,28,50,10,Fail,poor,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.17
ALG,ADRAR,EPSP TIMIMOUN,ALG-2024-01-01_nOPV,nOPV2,Rnd1,22,2024-01-28T00:00:00Z,2024-02-01,2024-02-02,41,19,60,41,19,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ADRAR,EPSP TIMIMOUN,nOPV2022,nOPV2,Rnd1,9,2022-12-10T00:00:00Z,2022-12-14,2022-12-15,31,29,60,31,25,56,4,Fail,moderate,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,50,0,0,0,50,0.07
ALG,ADRAR,EPSP TIMIMOUN,nOPV2022,nOPV2,Rnd2,20,2023-01-22T00:00:00Z,2023-01-26,2023-01-26,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ADRAR,EPSP TINERKOUK,ALG-2023-09-01_nOPV,nOPV2,Rnd1,6,2024-06-28T00:00:00Z,2024-07-02,2024-12-02,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ADRAR,EPSP TINERKOUK,ALG-2024-01-01_nOPV,nOPV2,Rnd1,10,2024-01-28T00:00:00Z,2024-02-01,2024-02-02,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ADRAR,EPSP TINERKOUK,nOPV2022,nOPV2,Rnd1,21,2022-12-10T00:00:00Z,2022-12-14,2022-12-15,33,27,60,31,25,56,4,Fail,moderate,0,0,4,0,0,0,0,0,1,0,3,0,0,0,0,0,100,0,0,0,0,0.07
ALG,ADRAR,EPSP TINERKOUK,nOPV2022,nOPV2,Rnd2,21,2023-01-22T00:00:00Z,2023-01-26,2023-01-27,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ADRAR,TIMIMMOUN,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,9,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ADRAR,TIMIMMOUN,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,6,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,14,16,30,14,16,30,30,Fail,very poor,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1
ALG,ADRAR,TINERKOUK,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,17,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ADRAR,TINERKOUK,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,21,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,28,32,60,28,32,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,AIN DEFLA,AIN LECHIEKH,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,21,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,26,34,60,26,34,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,AIN DEFLA,AIN LECHIEKH,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,21,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,AIN DEFLA,BOUMEDFAA,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,21,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,AIN DEFLA,BOUMEDFAA,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,21,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,35,25,60,35,25,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,AIN DEFLA,DJELIDA,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,21,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,36,24,60,32,22,54,6,Fail,moderate,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,100,0.1
ALG,AIN DEFLA,DJELIDA,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,21,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,30,30,60,29,29,58,2,Pass,high,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.03
ALG,AIN DEFLA,EL ABADIA,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,21,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,38,22,60,38,20,58,2,Pass,high,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.03
ALG,AIN DEFLA,EL ABADIA,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,21,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,40,20,60,39,20,59,1,Pass,high,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.02
ALG,AIN TEMOUCHENT,AIN TEMOUCHENT,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,21,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,29,31,60,29,30,59,1,Pass,high,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.02
ALG,AIN TEMOUCHENT,AIN TEMOUCHENT,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,21,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,34,26,60,33,25,58,2,Pass,high,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,100,0.03
ALG,AIN TEMOUCHENT,BENI SAF,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,21,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,35,25,60,34,25,59,1,Pass,high,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,100,0.02
ALG,AIN TEMOUCHENT,BENI SAF,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,21,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,28,32,60,28,32,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,AIN TEMOUCHENT,EL AMRIA,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,21,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,28,32,60,26,26,52,8,Fail,moderate,0,0,0,0,0,0,8,0,0,0,0,0,7,1,0,0,0,0,0,0,100,0.13
ALG,AIN TEMOUCHENT,EL AMRIA,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,21,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,29,31,60,28,26,54,6,Fail,moderate,0,0,4,0,0,0,2,0,4,0,0,0,0,2,0,0,66.67,0,0,0,33.33,0.1
ALG,AIN TEMOUCHENT,HAMMAM BOUHADJAR,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,24,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,30,40,70,30,40,70,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,AIN TEMOUCHENT,HAMMAM BOUHADJAR,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,21,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,36,24,60,36,24,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ALGER,BAB EL OUED,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,21,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,26,34,60,25,33,58,2,Pass,high,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.03
ALG,ALGER,BAB EL OUED,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,21,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ALGER,BARAKI,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,21,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,26,34,60,24,30,54,6,Fail,moderate,0,0,2,0,0,0,4,0,0,0,2,0,1,1,0,0,33.33,0,0,0,66.67,0.1
ALG,ALGER,BARAKI,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,25,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ALGER,BORJ KIFFAN( DERGANA),ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,41,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,66,54,120,64,52,116,4,Fail,moderate,0,0,2,0,0,0,2,0,2,0,0,0,2,0,0,0,50,0,0,0,50,0.03
ALG,ALGER,BORJ KIFFAN( DERGANA),ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,21,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ALGER,BOUZAREAH,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,14,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,32,38,70,31,37,68,2,Pass,high,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.03
ALG,ALGER,BOUZAREAH,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,21,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,26,34,60,26,34,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ALGER,CHERAGA (BOUCHAOUI),ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,21,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,20,40,60,19,40,59,1,Pass,high,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,100,0.02
ALG,ALGER,CHERAGA (BOUCHAOUI),ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,21,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,19,41,60,19,41,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ALGER,DRARIA,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,12,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,33,27,60,32,27,59,1,Pass,high,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.02
ALG,ALGER,DRARIA,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,13,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,31,29,60,31,28,59,1,Pass,high,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,100,0.02
ALG,ALGER,KOUBA( LES ANNASSERS),ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,21,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,27,33,60,26,33,59,1,Pass,high,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,100,0.02
ALG,ALGER,KOUBA( LES ANNASSERS),ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,21,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,36,24,60,33,24,57,3,Pass,high,0,0,1,0,0,0,2,0,0,0,1,0,2,0,0,0,33.33,0,0,0,66.67,0.05
ALG,ALGER,REGHAIA,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,18,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,32,28,60,29,27,56,4,Fail,moderate,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,100,0.07
ALG,ALGER,REGHAIA,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,25,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,32,38,70,31,38,69,1,Pass,high,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,100,0,0,0,0,0.01
ALG,ALGER,SIDI M'HAMMED (BOUCHENAFA),ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,16,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,87,73,160,77,66,143,17,Fail,poor,0,0,2,0,0,0,15,0,0,0,2,0,12,0,0,0,11.76,0,0,0,88.24,0.11
ALG,ALGER,SIDI M'HAMMED (BOUCHENAFA),ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,10,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,28,32,60,28,32,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ALGER,ZERALDA,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,21,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,33,27,60,29,26,55,5,Fail,moderate,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.08
ALG,ALGER,ZERALDA,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,21,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ANNABA,ANNABA,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,20,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ANNABA,ANNABA,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,21,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ANNABA,BERRAHEL,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,21,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ANNABA,BERRAHEL,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,21,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,24,36,60,24,36,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ANNABA,EL HADJAR,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,21,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,37,23,60,37,23,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,ANNABA,EL HADJAR,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,21,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,41,19,60,41,19,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,BATNA,AIN DJASSER,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,21,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,35,25,60,34,24,58,2,Pass,high,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,100,0.03
ALG,BATNA,AIN DJASSER,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,21,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,BATNA,AIN TOUTA,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,21,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,28,32,60,28,32,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,BATNA,AIN TOUTA,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,20,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,26,34,60,26,34,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,BATNA,ARRIS,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,21,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,30,30,60,30,29,59,1,Pass,high,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,100,0,0,0,0,0.02
ALG,BATNA,ARRIS,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,21,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,BATNA,BARIKA,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,21,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,BATNA,BARIKA,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,21,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,BATNA,BATNA,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,21,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,28,32,60,28,32,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,BATNA,BATNA,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd2,21,2025-12-27T00:00:00Z,2025-12-31,2026-01-01,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,BATNA,EL MADHER,ALG-2025-09-01_nOPV_NID,nOPV2,Rnd1,21,2025-11-30T00:00:00Z,2025-12-04,2025-12-05,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
