country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_Non_Compliance,r_House_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_Giver_Informed_SIA,abs_reason_in_playground,abs_reason_travelled,abs_reason_farm,abs_reason_market,abs_reason_other,abs_reason_school,nc_reason_vaccines_safety,nc_reason_no_care_giver_consent,nc_reason_religious_cultural,nc_reason_child_sick,nc_reason_others,nc_reason_no_felt_need,prct_r_Non_Compliance,prct_r_House_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
MAU,ADRAR,CHINGUITTI,MAU_57DS_08-2021nOPV,nOPV2,Rnd1,21,2021-12-14T00:00:00Z,2021-12-18,2021-12-19,34,26,60,14,8,22,38,Fail,very poor,0,0,37,0,0,0,1,28.33,0,0,0,0,37,0,0,0,0,0,0,0,0,0,97.37,0,0,0,2.63,0.63
MAU,ADRAR,CHINGUITTI,MAU_57DS_08-2021nOPV,nOPV2,Rnd2,14,2022-03-31T00:00:00Z,2022-04-04,2022-04-07,31,29,60,23,18,41,19,Fail,poor,0,15,1,0,1,1,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,78.95,5.26,0,5.26,5.26,5.26,0.32
MAU,ADRAR,OUADANE,MAU-2024-01-01_nOPV,nOPV2,Rnd1,21,2024-03-28T00:00:00Z,2024-04-01,2024-04-02,30,30,60,26,30,56,4,Fail,moderate,0,1,3,0,0,0,0,88.33,0,1,0,0,2,0,0,0,0,0,0,0,0,25,75,0,0,0,0,0.07
MAU,ADRAR,OUADANE,MAU-2024-01-01_nOPV,nOPV2,Rnd2,21,2024-05-23T00:00:00Z,2024-05-27,2024-05-28,36,24,60,36,24,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAU,ADRAR,OUADANE,MAU_57DS_08-2021nOPV,nOPV2,Rnd1,21,2021-12-13T00:00:00Z,2021-12-17,2021-12-19,29,31,60,28,30,58,2,Pass,high,0,0,0,0,0,2,0,86.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.03
MAU,ADRAR,OUADANE,MAU_57DS_08-2021nOPV,nOPV2,Rnd2,21,2022-03-31T00:00:00Z,2022-04-04,2022-04-04,37,23,60,37,23,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAU,ASSABA,BARKEOL,MAU-2024-01-01_nOPV,nOPV2,Rnd1,21,2024-03-28T00:00:00Z,2024-04-01,2024-04-02,36,24,60,33,21,54,6,Fail,moderate,0,2,3,0,0,1,0,50,1,1,0,0,1,0,0,0,0,0,0,0,0,33.33,50,0,0,16.67,0,0.1
MAU,ASSABA,BARKEOL,MAU-2024-01-01_nOPV,nOPV2,Rnd2,21,2024-05-23T00:00:00Z,2024-05-27,2024-05-28,27,33,60,12,18,30,30,Fail,very poor,0,24,1,0,0,5,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,80,3.33,0,0,16.67,0,0.5
MAU,ASSABA,BARKEOL,MAU_57DS_08-2021nOPV,nOPV2,Rnd1,21,2021-12-13T00:00:00Z,2021-12-17,2021-12-18,32,28,60,10,15,25,35,Fail,very poor,1,14,7,0,0,13,0,25,1,0,5,0,1,0,0,0,1,0,0,0,2.86,40,20,0,0,37.14,0,0.58
MAU,ASSABA,BARKEOL,MAU_57DS_08-2021nOPV,nOPV2,Rnd2,16,2022-04-01T00:00:00Z,2022-04-05,2022-04-08,35,25,60,35,25,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAU,ASSABA,BOUMDEID,MAU-2024-01-01_nOPV,nOPV2,Rnd1,21,2024-03-28T00:00:00Z,2024-04-01,2024-04-02,30,30,60,26,25,51,9,Fail,poor,0,8,0,0,1,0,0,73.33,0,0,0,0,0,0,0,0,0,0,0,0,0,88.89,0,0,11.11,0,0,0.15
MAU,ASSABA,BOUMDEID,MAU-2024-01-01_nOPV,nOPV2,Rnd2,21,2024-05-23T00:00:00Z,2024-05-27,2024-05-28,34,26,60,33,25,58,2,Pass,high,1,0,0,0,0,0,1,43.33,0,0,0,0,0,0,1,0,0,0,0,0,50,0,0,0,0,0,50,0.03
MAU,ASSABA,BOUMDEID,MAU_57DS_08-2021nOPV,nOPV2,Rnd1,4,2021-12-13T00:00:00Z,2021-12-17,2021-12-20,10,10,20,9,8,17,43,Fail,very poor,0,2,1,0,0,0,40,70,1,0,0,0,0,0,0,0,0,0,0,0,0,4.65,2.33,0,0,0,93.02,2.15
MAU,ASSABA,BOUMDEID,MAU_57DS_08-2021nOPV,nOPV2,Rnd2,21,2022-03-31T00:00:00Z,2022-04-04,2022-04-04,35,25,60,35,25,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAU,ASSABA,GUERROU,MAU-2024-01-01_nOPV,nOPV2,Rnd1,21,2024-03-28T00:00:00Z,2024-04-01,2024-04-02,25,35,60,17,19,36,24,Fail,very poor,0,13,1,0,0,4,6,71.67,0,1,0,0,0,0,0,0,0,0,0,0,0,54.17,4.17,0,0,16.67,25,0.4
MAU,ASSABA,GUERROU,MAU-2024-01-01_nOPV,nOPV2,Rnd2,21,2024-05-23T00:00:00Z,2024-05-27,2024-05-28,31,29,60,29,28,57,3,Pass,high,0,2,1,0,0,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,66.67,33.33,0,0,0,0,0.05
MAU,ASSABA,GUERROU,MAU_57DS_08-2021nOPV,nOPV2,Rnd1,21,2021-12-13T00:00:00Z,2021-12-17,2021-12-18,29,31,60,12,11,23,37,Fail,very poor,0,21,3,1,0,12,0,31.67,1,1,0,1,0,0,0,0,0,0,0,0,0,56.76,8.11,2.7,0,32.43,0,0.62
MAU,ASSABA,GUERROU,MAU_57DS_08-2021nOPV,nOPV2,Rnd2,16,2022-03-31T00:00:00Z,2022-04-04,2022-04-05,35,25,60,21,14,35,25,Fail,very poor,1,3,8,0,0,13,0,61.67,1,6,0,1,0,0,0,0,1,0,0,0,4,12,32,0,0,52,0,0.42
MAU,ASSABA,KANKOUSSA,MAU-2024-01-01_nOPV,nOPV2,Rnd1,21,2024-03-28T00:00:00Z,2024-04-01,2024-04-02,33,27,60,31,27,58,2,Pass,high,0,1,1,0,0,0,0,45,0,1,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0.03
MAU,ASSABA,KANKOUSSA,MAU-2024-01-01_nOPV,nOPV2,Rnd2,21,2024-05-23T00:00:00Z,2024-05-27,2024-05-28,30,30,60,29,29,58,2,Pass,high,0,1,1,0,0,0,0,93.33,0,1,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0.03
MAU,ASSABA,KANKOUSSA,MAU_57DS_08-2021nOPV,nOPV2,Rnd1,13,2021-12-14T00:00:00Z,2021-12-18,2021-12-19,24,16,40,15,13,28,32,Fail,very poor,0,7,4,1,0,0,20,0,0,2,2,0,0,0,0,0,0,0,0,0,0,21.88,12.5,3.12,0,0,62.5,0.8
MAU,ASSABA,KANKOUSSA,MAU_57DS_08-2021nOPV,nOPV2,Rnd2,21,2022-04-01T00:00:00Z,2022-04-05,2022-04-05,30,30,60,28,29,57,3,Pass,high,0,0,2,0,0,0,1,98.33,1,0,0,0,0,1,0,0,0,0,0,0,0,0,66.67,0,0,0,33.33,0.05
MAU,ASSABA,KIFFA,MAU-2024-01-01_nOPV,nOPV2,Rnd1,21,2024-03-28T00:00:00Z,2024-04-01,2024-04-02,26,34,60,23,29,52,8,Fail,moderate,0,4,4,0,0,0,0,91.67,0,1,0,0,3,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0.13
MAU,ASSABA,KIFFA,MAU-2024-01-01_nOPV,nOPV2,Rnd2,8,2024-05-23T00:00:00Z,2024-05-27,2024-05-28,30,30,60,18,21,39,21,Fail,very poor,0,19,0,0,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,90.48,0,0,9.52,0,0,0.35
MAU,ASSABA,KIFFA,MAU_57DS_08-2021nOPV,nOPV2,Rnd1,21,2021-12-13T00:00:00Z,2021-12-17,2021-12-18,38,22,60,19,11,30,30,Fail,very poor,0,15,13,0,1,1,0,48.33,5,4,0,0,1,3,0,0,0,0,0,0,0,50,43.33,0,3.33,3.33,0,0.5
MAU,ASSABA,KIFFA,MAU_57DS_08-2021nOPV,nOPV2,Rnd2,20,2022-04-01T00:00:00Z,2022-04-05,2022-04-07,32,28,60,27,21,48,12,Fail,poor,0,11,1,0,0,0,0,56.67,0,0,1,0,0,0,0,0,0,0,0,0,0,91.67,8.33,0,0,0,0,0.2
MAU,BRAKNA,ALEG,MAU-2024-01-01_nOPV,nOPV2,Rnd1,21,2024-03-28T00:00:00Z,2024-04-01,2024-04-02,31,29,60,17,15,32,28,Fail,very poor,0,17,2,0,0,9,0,75,0,2,0,0,0,0,0,0,0,0,0,0,0,60.71,7.14,0,0,32.14,0,0.47
MAU,BRAKNA,ALEG,MAU-2024-01-01_nOPV,nOPV2,Rnd2,21,2024-05-23T00:00:00Z,2024-05-27,2024-05-28,24,36,60,23,35,58,2,Pass,high,0,0,2,0,0,0,0,100,0,2,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
MAU,BRAKNA,ALEG,MAU_57DS_08-2021nOPV,nOPV2,Rnd1,21,2021-12-13T00:00:00Z,2021-12-17,2021-12-18,32,28,60,13,7,20,40,Fail,very poor,1,33,1,0,1,4,0,43.33,0,1,0,0,0,0,0,0,0,1,0,0,2.5,82.5,2.5,0,2.5,10,0,0.67
MAU,BRAKNA,ALEG,MAU_57DS_08-2021nOPV,nOPV2,Rnd2,21,2022-03-31T00:00:00Z,2022-04-04,2022-04-06,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAU,BRAKNA,BABABE,MAU-2024-01-01_nOPV,nOPV2,Rnd1,21,2024-03-28T00:00:00Z,2024-04-01,2024-04-02,31,29,60,27,29,56,4,Fail,moderate,0,0,1,0,0,1,2,78.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0,25,50,0.07
MAU,BRAKNA,BABABE,MAU-2024-01-01_nOPV,nOPV2,Rnd2,21,2024-05-23T00:00:00Z,2024-05-27,2024-05-28,35,25,60,33,24,57,3,Pass,high,0,2,0,0,0,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,0,0,0,33.33,0,0.05
MAU,BRAKNA,BABABE,MAU_57DS_08-2021nOPV,nOPV2,Rnd1,21,2021-12-13T00:00:00Z,2021-12-17,2021-12-18,34,26,60,34,25,59,1,Pass,high,0,0,0,0,0,1,0,11.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.02
MAU,BRAKNA,BABABE,MAU_57DS_08-2021nOPV,nOPV2,Rnd2,21,2022-03-31T00:00:00Z,2022-04-04,2022-04-06,25,35,60,25,35,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAU,BRAKNA,BOGHE,MAU-2024-01-01_nOPV,nOPV2,Rnd1,21,2024-03-28T00:00:00Z,2024-04-01,2024-04-02,30,30,60,23,21,44,16,Fail,poor,0,3,4,0,0,9,0,73.33,0,0,0,2,1,1,0,0,0,0,0,0,0,18.75,25,0,0,56.25,0,0.27
MAU,BRAKNA,BOGHE,MAU-2024-01-01_nOPV,nOPV2,Rnd2,21,2024-05-23T00:00:00Z,2024-05-27,2024-05-28,26,34,60,25,33,58,2,Pass,high,0,0,2,0,0,0,0,30,0,1,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
MAU,BRAKNA,BOGHE,MAU_57DS_08-2021nOPV,nOPV2,Rnd1,21,2021-12-13T00:00:00Z,2021-12-17,2021-12-19,30,30,60,6,16,22,38,Fail,very poor,0,33,0,0,0,4,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,86.84,0,0,0,10.53,2.63,0.63
MAU,BRAKNA,BOGHE,MAU_57DS_08-2021nOPV,nOPV2,Rnd2,16,2022-04-01T00:00:00Z,2022-04-05,2022-04-07,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAU,BRAKNA,MAGHTA LEHJAR,MAU-2024-01-01_nOPV,nOPV2,Rnd1,21,2024-03-28T00:00:00Z,2024-04-01,2024-04-02,29,31,60,23,24,47,13,Fail,poor,1,0,1,0,0,10,1,80,0,0,0,1,0,0,0,0,0,0,1,0,7.69,0,7.69,0,0,76.92,7.69,0.22
MAU,BRAKNA,MAGHTA LEHJAR,MAU-2024-01-01_nOPV,nOPV2,Rnd2,21,2024-05-23T00:00:00Z,2024-05-27,2024-05-28,39,21,60,39,21,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAU,BRAKNA,MAGHTALAHJAR,MAU_57DS_08-2021nOPV,nOPV2,Rnd1,21,2021-12-14T00:00:00Z,2021-12-18,2021-12-19,23,37,60,14,18,32,28,Fail,very poor,4,13,0,0,0,11,0,76.67,0,0,0,0,0,0,0,3,0,1,0,0,14.29,46.43,0,0,0,39.29,0,0.47
MAU,BRAKNA,MAGHTALAHJAR,MAU_57DS_08-2021nOPV,nOPV2,Rnd2,21,2022-04-01T00:00:00Z,2022-04-05,2022-04-07,30,30,60,30,28,58,2,Pass,high,0,0,2,0,0,0,0,86.67,0,1,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
MAU,BRAKNA,MALE,MAU-2024-01-01_nOPV,nOPV2,Rnd1,8,2024-03-28T00:00:00Z,2024-04-01,2024-04-02,34,26,60,22,17,39,21,Fail,very poor,0,12,6,0,0,3,0,83.33,0,0,4,0,2,0,0,0,0,0,0,0,0,57.14,28.57,0,0,14.29,0,0.35
MAU,BRAKNA,MALE,MAU-2024-01-01_nOPV,nOPV2,Rnd2,21,2024-05-23T00:00:00Z,2024-05-27,2024-05-28,38,22,60,38,22,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAU,BRAKNA,MALE,MAU_57DS_08-2021nOPV,nOPV2,Rnd2,21,2022-04-01T00:00:00Z,2022-04-05,2022-04-06,36,24,60,33,20,53,7,Fail,moderate,0,1,0,0,0,6,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,85.71,0,0.12
MAU,BRAKNA,M_BAGNE,MAU-2024-01-01_nOPV,nOPV2,Rnd1,21,2024-03-28T00:00:00Z,2024-04-01,2024-04-02,26,34,60,24,33,57,3,Pass,high,0,2,1,0,0,0,0,33.33,0,0,0,1,0,0,0,0,0,0,0,0,0,66.67,33.33,0,0,0,0,0.05
MAU,BRAKNA,M_BAGNE,MAU-2024-01-01_nOPV,nOPV2,Rnd2,21,2024-05-23T00:00:00Z,2024-05-27,2024-05-28,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAU,BRAKNA,M_BAGNE,MAU_57DS_08-2021nOPV,nOPV2,Rnd1,21,2021-12-13T00:00:00Z,2021-12-17,2021-12-18,28,32,60,22,20,42,18,Fail,poor,0,1,0,1,0,16,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,5.56,0,88.89,0,0.3
MAU,BRAKNA,M_BAGNE,MAU_57DS_08-2021nOPV,nOPV2,Rnd2,21,2022-03-31T00:00:00Z,2022-04-04,2022-04-06,33,27,60,20,15,35,25,Fail,very poor,0,10,1,0,0,14,0,56.67,0,1,0,0,0,0,0,0,0,0,0,0,0,40,4,0,0,56,0,0.42
MAU,DAKHLET NOUADHIBOU,CHAMI,MAU-2024-01-01_nOPV,nOPV2,Rnd1,20,2024-03-28T00:00:00Z,2024-04-01,2024-04-02,30,30,60,24,28,52,8,Fail,moderate,0,2,4,0,0,1,1,65,1,0,0,1,2,0,0,0,0,0,0,0,0,25,50,0,0,12.5,12.5,0.13
MAU,DAKHLET NOUADHIBOU,CHAMI,MAU-2024-01-01_nOPV,nOPV2,Rnd2,21,2024-05-23T00:00:00Z,2024-05-27,2024-05-28,31,29,60,30,28,58,2,Pass,high,0,2,0,0,0,0,0,96.67,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.03
MAU,DAKHLET NOUADHIBOU,CHAMI,MAU_57DS_08-2021nOPV,nOPV2,Rnd1,21,2021-12-14T00:00:00Z,2021-12-18,2021-12-19,25,35,60,16,27,43,17,Fail,poor,0,4,3,0,1,8,1,43.33,1,1,0,0,1,0,0,0,0,0,0,0,0,23.53,17.65,0,5.88,47.06,5.88,0.28
MAU,DAKHLET NOUADHIBOU,CHAMI,MAU_57DS_08-2021nOPV,nOPV2,Rnd2,20,2022-03-31T00:00:00Z,2022-04-04,2022-04-06,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,93.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAU,DAKHLET NOUADHIBOU,NOUADHIBOU,MAU-2024-01-01_nOPV,nOPV2,Rnd1,21,2024-03-28T00:00:00Z,2024-04-01,2024-04-02,32,28,60,15,14,29,31,Fail,very poor,0,9,1,1,1,18,1,91.67,0,1,0,0,0,0,0,0,0,0,0,0,0,29.03,3.23,3.23,3.23,58.06,3.23,0.52
MAU,DAKHLET NOUADHIBOU,NOUADHIBOU,MAU-2024-01-01_nOPV,nOPV2,Rnd2,16,2024-05-23T00:00:00Z,2024-05-27,2024-05-28,19,41,60,18,34,52,8,Fail,moderate,0,0,0,0,0,3,5,88.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,62.5,0.13
MAU,DAKHLET NOUADHIBOU,NOUADHIBOU,MAU_57DS_08-2021nOPV,nOPV2,Rnd1,21,2021-12-13T00:00:00Z,2021-12-17,2021-12-19,32,28,60,25,22,47,13,Fail,poor,0,0,7,0,0,6,0,75,1,1,0,1,3,1,0,0,0,0,0,0,0,0,53.85,0,0,46.15,0,0.22
MAU,DAKHLET NOUADHIBOU,NOUADHIBOU,MAU_57DS_08-2021nOPV,nOPV2,Rnd2,21,2022-03-31T00:00:00Z,2022-04-04,2022-04-05,28,32,60,28,31,59,1,Pass,high,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.02
MAU,GORGOL,KAEDI,MAU-2024-01-01_nOPV,nOPV2,Rnd1,21,2024-03-28T00:00:00Z,2024-04-01,2024-04-02,27,33,60,26,28,54,6,Fail,moderate,0,3,3,0,0,0,0,60,3,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0.1
MAU,GORGOL,KAEDI,MAU-2024-01-01_nOPV,nOPV2,Rnd2,6,2024-05-23T00:00:00Z,2024-05-27,2024-05-28,35,25,60,31,23,54,6,Fail,moderate,0,0,3,0,0,2,1,93.33,1,1,0,1,0,0,0,0,0,0,0,0,0,0,50,0,0,33.33,16.67,0.1
MAU,GORGOL,KAEDI,MAU_57DS_08-2021nOPV,nOPV2,Rnd1,21,2021-12-13T00:00:00Z,2021-12-17,2021-12-19,35,25,60,33,21,54,6,Fail,moderate,0,0,0,0,0,6,0,91.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.1
MAU,GORGOL,KAEDI,MAU_57DS_08-2021nOPV,nOPV2,Rnd2,6,2022-04-01T00:00:00Z,2022-04-05,2022-04-06,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAU,GORGOL,LEKSEIBE,MAU-2024-01-01_nOPV,nOPV2,Rnd1,21,2024-03-28T00:00:00Z,2024-04-01,2024-04-02,32,28,60,30,25,55,5,Fail,moderate,0,2,2,0,0,0,1,96.67,0,1,0,0,0,1,0,0,0,0,0,0,0,40,40,0,0,0,20,0.08
MAU,GORGOL,LEKSEIBE,MAU-2024-01-01_nOPV,nOPV2,Rnd2,21,2024-05-23T00:00:00Z,2024-05-27,2024-05-28,31,29,60,28,27,55,5,Fail,moderate,0,0,4,1,0,0,0,96.67,0,0,2,0,2,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0.08
MAU,GORGOL,LEKSEIBE,MAU_57DS_08-2021nOPV,nOPV2,Rnd2,6,2022-03-31T00:00:00Z,2022-04-04,2022-04-06,32,28,60,27,24,51,9,Fail,poor,0,3,0,0,0,6,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,66.67,0,0.15
MAU,GORGOL,MAGHAMA,MAU-2024-01-01_nOPV,nOPV2,Rnd1,21,2024-03-28T00:00:00Z,2024-04-01,2024-04-02,31,29,60,15,14,29,31,Fail,very poor,0,0,0,0,0,0,31,98.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.52
MAU,GORGOL,MAGHAMA,MAU-2024-01-01_nOPV,nOPV2,Rnd2,7,2024-05-23T00:00:00Z,2024-05-27,2024-05-28,24,36,60,24,35,59,1,Pass,high,0,0,0,0,0,1,0,63.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.02
MAU,GORGOL,MAGHAMA,MAU_57DS_08-2021nOPV,nOPV2,Rnd1,21,2021-12-13T00:00:00Z,2021-12-17,2021-12-19,27,33,60,27,32,59,1,Pass,high,0,0,0,0,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0.02
MAU,GORGOL,MAGHAMA,MAU_57DS_08-2021nOPV,nOPV2,Rnd2,21,2022-03-31T00:00:00Z,2022-04-04,2022-04-06,25,35,60,25,34,59,1,Pass,high,0,0,1,0,0,0,0,46.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
MAU,GORGOL,MONGUEL,MAU-2024-01-01_nOPV,nOPV2,Rnd1,21,2024-03-28T00:00:00Z,2024-04-01,2024-04-02,31,29,60,19,13,32,28,Fail,very poor,0,0,0,0,0,26,2,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.86,7.14,0.47
MAU,GORGOL,MONGUEL,MAU-2024-01-01_nOPV,nOPV2,Rnd2,21,2024-05-23T00:00:00Z,2024-05-27,2024-05-28,33,27,60,28,24,52,8,Fail,moderate,0,8,0,0,0,0,0,68.33,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.13
MAU,GORGOL,MONGUEL,MAU_57DS_08-2021nOPV,nOPV2,Rnd1,21,2021-12-14T00:00:00Z,2021-12-18,2021-12-18,31,29,60,30,29,59,1,Pass,high,0,0,0,0,0,1,0,78.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.02
MAU,GORGOL,MONGUEL,MAU_57DS_08-2021nOPV,nOPV2,Rnd2,21,2022-03-31T00:00:00Z,2022-04-04,2022-04-06,38,22,60,38,22,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
