country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_in_playground,abs_reason_market,abs_reason_other,abs_reason_school,abs_reason_travelled,abs_reason_farm,nc_reason_no_care_giver_consent,nc_reason_no_felt_need,nc_reason_too_many_rnd,nc_reason_vaccines_safety,nc_reason_others,nc_reason_covid_19,nc_reason_religious_cultural,nc_reason_child_sick,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
ETH,AFAR,ZONE1,Addis Ababa,,Rnd1,66,2024-10-05T00:00:00Z,2024-10-09,2024-12-13,105,95,200,102,90,192,8,Fail,moderate,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,25,0,25,0,0.04
ETH,AFAR,ZONE1,Addis Ababa,,Rnd2,62,2024-12-08T00:00:00Z,2024-12-12,2024-12-17,97,73,170,97,73,170,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,AFAR,ZONE1,ETH-2025-12-b-nOPV2-NIDs,nOPV2,Rnd1,85,2025-12-12T00:00:00Z,2025-12-16,2025-12-17,138,102,240,137,101,238,2,Pass,high,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0.01
ETH,AFAR,ZONE2,Addis Ababa,,Rnd0,45,2025-10-06T00:00:00Z,2025-10-10,2025-10-23,58,72,130,56,67,123,7,Fail,moderate,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.14,0,0,0,42.86,0,0.05
ETH,AFAR,ZONE2,Addis Ababa,,Rnd1,42,2024-10-11T00:00:00Z,2024-10-15,2024-10-24,66,54,120,50,39,89,31,Fail,very poor,0,4,3,0,0,23,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,12.9,9.68,0,0,74.19,3.23,0.26
ETH,AFAR,ZONE2,Addis Ababa,,Rnd2,42,2024-12-11T00:00:00Z,2024-12-15,2024-12-21,66,54,120,66,54,120,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,AFAR,ZONE2,ETH-2025-12-b-nOPV2-NIDs,nOPV2,Rnd1,58,2025-12-12T00:00:00Z,2025-12-16,2025-12-17,97,83,180,96,83,179,1,Pass,high,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.01
ETH,AFAR,ZONE3,Addis Ababa,,Rnd0,63,2025-10-13T00:00:00Z,2025-10-17,2025-10-23,80,100,180,78,96,174,6,Fail,moderate,0,0,3,1,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,50,16.67,0,0,33.33,0.03
ETH,AFAR,ZONE3,Addis Ababa,,Rnd1,42,2024-10-10T00:00:00Z,2024-10-14,2024-10-18,62,58,120,61,57,118,2,Pass,high,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
ETH,AFAR,ZONE3,Addis Ababa,,Rnd2,41,2024-12-08T00:00:00Z,2024-12-12,2024-12-15,54,66,120,53,66,119,1,Pass,high,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.01
ETH,AFAR,ZONE3,ETH-2025-12-b-nOPV2-NIDs,nOPV2,Rnd1,42,2025-12-12T00:00:00Z,2025-12-16,2025-12-17,65,55,120,64,55,119,1,Pass,high,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.01
ETH,AFAR,ZONE4,Addis Ababa,,Rnd0,42,2025-10-13T00:00:00Z,2025-10-17,2025-10-22,44,76,120,44,75,119,1,Pass,high,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.01
ETH,AFAR,ZONE4,Addis Ababa,,Rnd1,21,2024-10-10T00:00:00Z,2024-10-14,2024-10-19,28,32,60,27,32,59,1,Pass,high,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
ETH,AFAR,ZONE4,Addis Ababa,,Rnd2,21,2024-12-11T00:00:00Z,2024-12-15,2024-12-16,28,32,60,28,30,58,2,Pass,high,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
ETH,AFAR,ZONE4,ETH-2025-12-b-nOPV2-NIDs,nOPV2,Rnd1,42,2025-12-12T00:00:00Z,2025-12-16,2025-12-17,66,54,120,65,54,119,1,Pass,high,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.01
ETH,AFAR,ZONE5,Addis Ababa,,Rnd0,42,2025-10-13T00:00:00Z,2025-10-17,2025-10-21,63,57,120,62,55,117,3,Pass,high,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,33.33,0,0.03
ETH,AFAR,ZONE5,Addis Ababa,,Rnd1,44,2024-10-11T00:00:00Z,2024-10-15,2024-12-15,65,65,130,60,59,119,11,Fail,poor,0,1,1,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,81.82,0,0.08
ETH,AFAR,ZONE5,Addis Ababa,,Rnd2,40,2024-12-08T00:00:00Z,2024-12-12,2024-12-19,51,59,110,50,58,108,2,Pass,high,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0.02
ETH,AFAR,ZONE5,ETH-2025-12-b-nOPV2-NIDs,nOPV2,Rnd1,21,2025-12-12T00:00:00Z,2025-12-16,2025-12-17,37,23,60,36,21,57,3,Pass,high,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,33.33,0.05
ETH,AFAR,ZONE6,Addis Ababa,,Rnd0,21,2025-10-13T00:00:00Z,2025-10-17,2025-10-21,30,30,60,30,29,59,1,Pass,high,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
ETH,AFAR,ZONE6,ETH-2025-12-b-nOPV2-NIDs,nOPV2,Rnd1,21,2025-12-12T00:00:00Z,2025-12-16,2025-12-17,32,28,60,32,26,58,2,Pass,high,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0.03
ETH,AMHARA,AWI,ADDIS ABABA,nOPV2,Rnd1,56,2021-10-18T00:00:00Z,2021-10-22,2022-04-22,133,107,240,127,102,229,11,Fail,poor,3,3,3,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,2,1,0,27.27,27.27,27.27,9.09,0,9.09,0,0.05
ETH,AMHARA,AWI,Addis Ababa,,Rnd1,63,2024-10-13T00:00:00Z,2024-10-17,2024-10-18,103,77,180,103,77,180,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,AMHARA,AWI,Addis Ababa,,Rnd2,63,2024-12-08T00:00:00Z,2024-12-12,2024-12-14,99,81,180,97,81,178,2,Pass,high,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.01
ETH,AMHARA,AWI,ETH-2025-12-b-nOPV2-NIDs,nOPV2,Rnd1,63,2025-12-12T00:00:00Z,2025-12-16,2025-12-17,100,80,180,99,79,178,2,Pass,high,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0.01
ETH,AMHARA,BAHIR DAR CITY,ADDIS ABABA,nOPV2,Rnd1,42,2021-10-24T00:00:00Z,2021-10-28,2022-04-22,67,53,120,64,52,116,4,Fail,moderate,1,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,25,0,50,25,0,0,0,0.03
ETH,AMHARA,BAHIR DAR CITY,Addis Ababa,,Rnd1,21,2024-10-10T00:00:00Z,2024-10-14,2024-10-16,29,31,60,29,30,59,1,Pass,high,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
ETH,AMHARA,BAHIR DAR CITY,Addis Ababa,,Rnd2,21,2024-12-09T00:00:00Z,2024-12-13,2024-12-16,30,30,60,30,29,59,1,Pass,high,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
ETH,AMHARA,BAHIRD DAR CITY,Addis Ababa,,Rnd0,21,2025-10-13T00:00:00Z,2025-10-17,2025-10-21,31,29,60,30,28,58,2,Pass,high,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,50,0,50,0,0,0,0,0.03
ETH,AMHARA,CENTRAL GONDAR,ADDIS ABABA,nOPV2,Rnd1,76,2021-10-18T00:00:00Z,2021-10-22,2022-04-30,157,143,300,150,138,288,12,Fail,poor,0,0,2,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,83.33,0,0.04
ETH,AMHARA,CENTRAL GONDAR,Addis Ababa,,Rnd0,74,2025-10-07T00:00:00Z,2025-10-11,2025-10-23,116,104,220,116,104,220,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,AMHARA,CENTRAL GONDAR,Addis Ababa,,Rnd1,84,2024-10-09T00:00:00Z,2024-10-13,2024-12-10,129,111,240,128,111,239,1,Pass,high,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
ETH,AMHARA,CENTRAL GONDAR,Addis Ababa,,Rnd2,42,2024-12-06T00:00:00Z,2024-12-10,2024-12-17,74,46,120,72,46,118,2,Pass,high,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.02
ETH,AMHARA,CENTRAL GONDAR,ETH-2025-12-b-nOPV2-NIDs,nOPV2,Rnd1,87,2025-12-12T00:00:00Z,2025-12-16,2025-12-17,133,127,260,131,123,254,6,Fail,moderate,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.02
ETH,AMHARA,DEBRE BIRHAN CITY,Addis Ababa,,Rnd1,24,2024-10-04T00:00:00Z,2024-10-08,2024-12-13,39,51,90,38,50,88,2,Pass,high,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
ETH,AMHARA,DEBRE BIRHAN CITY,Addis Ababa,,Rnd2,20,2024-12-10T00:00:00Z,2024-12-14,2024-12-18,25,25,50,25,24,49,11,Fail,poor,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,90.91,0.22
ETH,AMHARA,DEBRE BIRHAN CITY,ETH-2025-12-b-nOPV2-NIDs,nOPV2,Rnd1,24,2025-12-12T00:00:00Z,2025-12-16,2025-12-17,38,42,80,37,42,79,1,Pass,high,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.01
ETH,AMHARA,DEBRE MARKOS CITY,Addis Ababa,,Rnd1,42,2024-10-11T00:00:00Z,2024-10-15,2024-12-14,62,58,120,62,56,118,2,Pass,high,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.02
ETH,AMHARA,DEBRE TABOR CITY,Addis Ababa,,Rnd1,22,2024-10-04T00:00:00Z,2024-10-08,2024-10-21,29,41,70,29,41,70,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,AMHARA,DEBRE TABOR CITY,Addis Ababa,,Rnd2,21,2024-12-12T00:00:00Z,2024-12-16,2024-12-16,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,AMHARA,DEBREMARKOS,Addis Ababa,,Rnd0,20,2025-10-12T00:00:00Z,2025-10-16,2025-10-17,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,AMHARA,DEBREMARKOS TOWN,ETH-2025-12-b-nOPV2-NIDs,nOPV2,Rnd1,21,2025-12-12T00:00:00Z,2025-12-16,2025-12-17,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,AMHARA,DEBRETABOR,Addis Ababa,,Rnd0,21,2025-10-12T00:00:00Z,2025-10-16,2025-10-18,34,26,60,34,26,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,AMHARA,DEBRETABOR TOWN,Addis Ababa,,Rnd0,9,2025-12-18T00:00:00Z,2025-12-22,2025-12-22,18,12,30,18,12,30,30,Fail,very poor,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1
ETH,AMHARA,DEBRETABOR TOWN,ETH-2025-12-b-nOPV2-NIDs,nOPV2,Rnd1,12,2025-12-12T00:00:00Z,2025-12-16,2025-12-17,14,16,30,14,16,30,30,Fail,very poor,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1
ETH,AMHARA,DESSIE CITY,ADDIS ABABA,nOPV2,Rnd1,42,2022-10-10T00:00:00Z,2022-10-14,2022-12-10,62,58,120,57,58,115,5,Fail,moderate,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,20,0,40,0,0.04
ETH,AMHARA,DESSIE CITY,Addis Ababa,,Rnd1,21,2024-10-10T00:00:00Z,2024-10-14,2024-10-16,31,29,60,29,29,58,2,Pass,high,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.03
ETH,AMHARA,DESSIE CITY,Addis Ababa,,Rnd2,21,2024-12-13T00:00:00Z,2024-12-17,2024-12-18,23,37,60,23,37,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,AMHARA,DESSIE CITY,ETH-2025-12-b-nOPV2-NIDs,nOPV2,Rnd1,21,2025-12-12T00:00:00Z,2025-12-16,2025-12-17,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,AMHARA,EAST GOJJAM,ADDIS ABABA,nOPV2,Rnd1,77,2021-10-19T00:00:00Z,2021-10-23,2022-04-21,137,113,250,137,111,248,2,Pass,high,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0.01
ETH,AMHARA,EAST GOJJAM,Addis Ababa,,Rnd0,65,2025-10-07T00:00:00Z,2025-10-11,2025-10-17,104,96,200,103,96,199,1,Pass,high,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
ETH,AMHARA,EAST GOJJAM,Addis Ababa,,Rnd1,84,2024-10-13T00:00:00Z,2024-10-17,2024-10-22,128,112,240,127,112,239,1,Pass,high,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
ETH,AMHARA,EAST GOJJAM,Addis Ababa,,Rnd2,84,2024-12-07T00:00:00Z,2024-12-11,2024-12-16,132,108,240,132,108,240,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,AMHARA,EAST GOJJAM,ETH-2025-12-b-nOPV2-NIDs,nOPV2,Rnd1,102,2025-12-12T00:00:00Z,2025-12-16,2025-12-17,151,149,300,150,148,298,2,Pass,high,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0.01
ETH,AMHARA,GONDAR CITY,ADDIS ABABA,nOPV2,Rnd1,27,2021-10-22T00:00:00Z,2021-10-26,2022-04-20,57,63,120,56,63,119,1,Pass,high,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.01
ETH,AMHARA,GONDAR CITY,Addis Ababa,,Rnd1,21,2024-10-10T00:00:00Z,2024-10-14,2024-10-16,28,32,60,28,32,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,AMHARA,GONDAR CITY,Addis Ababa,,Rnd2,21,2024-12-10T00:00:00Z,2024-12-14,2024-12-17,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,AMHARA,GONDER CITY,ETH-2025-12-b-nOPV2-NIDs,nOPV2,Rnd1,22,2025-12-12T00:00:00Z,2025-12-16,2025-12-17,38,32,70,38,32,70,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,AMHARA,GONDER TOWN,Addis Ababa,,Rnd0,22,2025-10-09T00:00:00Z,2025-10-13,2025-10-19,43,27,70,43,27,70,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,AMHARA,KOMBOLCHA CITY,Addis Ababa,,Rnd1,25,2024-10-11T00:00:00Z,2024-10-15,2024-12-12,38,42,80,38,41,79,1,Pass,high,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.01
ETH,AMHARA,KOMBOLCHA CITY,Addis Ababa,,Rnd2,18,2024-12-09T00:00:00Z,2024-12-13,2024-12-20,24,26,50,23,26,49,11,Fail,poor,0,0,1,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,90.91,0.22
ETH,AMHARA,KOMBOLCHA CITY,ETH-2025-12-b-nOPV2-NIDs,nOPV2,Rnd1,21,2025-12-12T00:00:00Z,2025-12-16,2025-12-17,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,AMHARA,KOMBOLCHA TOWN,ADDIS ABABA,nOPV2,Rnd1,21,2022-12-06T00:00:00Z,2022-12-10,2022-12-11,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,AMHARA,NORTH GOJJAM,Addis Ababa,,Rnd0,53,2025-10-10T00:00:00Z,2025-10-14,2025-10-22,84,66,150,83,64,147,3,Pass,high,0,0,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
ETH,AMHARA,NORTH GOJJAM,Addis Ababa,,Rnd1,42,2024-10-13T00:00:00Z,2024-10-17,2024-10-20,64,56,120,62,55,117,3,Pass,high,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,66.67,33.33,0,0,0,0.03
ETH,AMHARA,NORTH GOJJAM,Addis Ababa,,Rnd2,42,2024-12-08T00:00:00Z,2024-12-12,2024-12-14,62,58,120,62,58,120,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,AMHARA,NORTH GOJJAM,ETH-2025-12-b-nOPV2-NIDs,nOPV2,Rnd1,42,2025-12-12T00:00:00Z,2025-12-16,2025-12-17,72,48,120,72,48,120,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,AMHARA,NORTH GONDAR,ADDIS ABABA,nOPV2,Rnd1,66,2021-10-18T00:00:00Z,2021-10-22,2022-04-21,119,101,220,114,97,211,9,Fail,poor,0,1,4,1,1,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,11.11,44.44,11.11,11.11,22.22,0,0.04
