country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_other,abs_reason_travelled,abs_reason_farm,abs_reason_market,abs_reason_school,abs_reason_in_playground,nc_reason_no_felt_need,nc_reason_others,nc_reason_child_sick,nc_reason_vaccines_safety,nc_reason_religious_cultural,nc_reason_no_care_giver_consent,nc_reason_poliofree,nc_reason_too_many_rnd,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child,nc_reason_covid_19,nc_reason_nopvconcern,year,missed_child,r_security,r_childnotborn,care_giver_informed_sia,tot_r,prct_r_childnotborn,prct_r_security
ANG,BENGO,BULA ATUMBA,ANGOLA-NID-2024-nOPV2,nOPV2,Rnd1,21,2024-05-17,2024-05-21,2024-05-22,28,32,60,25,32,57,3,Pass,high,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.05,,,,,,,,,,
ANG,BENGO,BULA ATUMBA,ANGOLA-NID-2024-nOPV2,nOPV2,Rnd2,21,2024-09-06,2024-09-10,2024-09-11,31,29,60,29,28,57,3,Pass,high,0,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.05,,,,,,,,,,
ANG,BENGO,DANDE,ANG-2023-07-01_bOPV,bOPV,Rnd1,20,2023-09-13,2023-09-17,2023-09-18,27,33,60,16,27,43,17,Fail,poor,1,9,7,0,0,0,0,0,1,1,2,1,2,0,1,0,0,0,0,0,0,0,5.88,52.94,41.18,0,0,0,0,0.28,,,,,,,,,,
ANG,BENGO,DANDE,ANG-2023-07-01_bOPV,bOPV,Rnd2,36,2023-10-21,2023-10-25,2023-10-27,32,28,60,17,16,33,27,Fail,very poor,0,25,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,92.59,3.7,0,0,3.7,0,0.45,,,,,,,,,,
ANG,BENGO,DANDE,ANG-2025-08-01_nOPV-NID,nOPV2,Rnd1,21,2025-08-15,2025-08-19,2025-08-20,27,33,60,24,29,53,7,Fail,moderate,0,3,4,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,42.86,57.14,0,0,0,0,0.12,,,,,,,,,,
ANG,BENGO,DANDE,ANG-2025-08-01_nOPV-NID,nOPV2,Rnd2,21,2025-09-05,2025-09-09,2025-09-10,33,27,60,32,25,57,3,Pass,high,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,0,0,33.33,0,0.05,,,,,,,,,,
ANG,BENGO,DANDE,ANG-2026-03-01_nOPV_NID,nOPV2,Rnd1,21,2026-03-27,2026-03-31,2026-04-01,35,25,60,35,25,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,DANDE,ANG-2026-03-01_nOPV_NID,nOPV2,Rnd2,21,2026-05-22,2026-05-26,2026-05-27,36,24,60,35,24,59,1,Pass,high,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02,,,,,,,,,,
ANG,BENGO,DANDE,ANG-2026-08-02_nOPV_NID,nOPV2,Rnd1,21,2026-08-21,2026-08-25,2026-08-26,33,27,60,32,27,59,1,Pass,high,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.02,,,,,,,,,,
ANG,BENGO,DANDE,ANGOLA-NID-2024-nOPV2,nOPV2,Rnd1,21,2024-05-17,2024-05-21,2024-05-22,25,35,60,21,30,51,9,Fail,poor,0,2,7,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,22.22,77.78,0,0,0,0,0.15,,,,,,,,,,
ANG,BENGO,DANDE,ANGOLA-NID-2024-nOPV2,nOPV2,Rnd2,21,2024-09-06,2024-09-10,2024-09-11,37,23,60,37,22,59,1,Pass,high,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02,,,,,,,,,,
ANG,BENGO,DANDE,ANGOLA-SNID-2024-07-nOPV2,nOPV2,Rnd1,21,2024-06-28,2024-07-02,2024-07-03,24,36,60,24,35,59,1,Pass,high,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02,,,,,,,,,,
ANG,BENGO,DEMBOS (QUIBAXE),ANG-2023-07-01_bOPV,bOPV,Rnd1,21,2023-09-13,2023-09-17,2023-09-18,35,25,60,34,25,59,1,Pass,high,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02,,,,,,,,,,
ANG,BENGO,DEMBOS (QUIBAXE),ANG-2023-07-01_bOPV,bOPV,Rnd2,21,2023-10-21,2023-10-25,2023-10-26,25,35,60,0,0,0,60,Fail,very poor,0,0,0,3,4,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6.67,88.33,0,1,,,,,,,,,,
ANG,BENGO,DEMBOS (QUIBAXE),ANGOLA-NID-2024-nOPV2,nOPV2,Rnd1,21,2024-05-17,2024-05-21,2024-05-22,28,32,60,28,32,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,DEMBOS (QUIBAXE),ANGOLA-NID-2024-nOPV2,nOPV2,Rnd2,21,2024-09-06,2024-09-10,2024-09-11,30,30,60,30,29,59,1,Pass,high,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.02,,,,,,,,,,
ANG,BENGO,MUXALUANDO,ANG-2025-08-01_nOPV-NID,nOPV2,Rnd1,21,2025-08-15,2025-08-19,2025-08-20,29,31,60,29,29,58,2,Pass,high,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.03,,,,,,,,,,
ANG,BENGO,MUXALUANDO,ANG-2025-08-01_nOPV-NID,nOPV2,Rnd2,21,2025-09-05,2025-09-09,2025-09-10,37,23,60,37,23,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,MUXALUANDO,ANG-2026-03-01_nOPV_NID,nOPV2,Rnd1,21,2026-03-27,2026-03-31,2026-04-01,24,36,60,22,33,55,5,Fail,moderate,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.08,,,,,,,,,,
ANG,BENGO,MUXALUANDO,ANG-2026-03-01_nOPV_NID,nOPV2,Rnd2,21,2026-05-22,2026-05-26,2026-05-27,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,MUXALUANDO,ANG-2026-08-02_nOPV_NID,nOPV2,Rnd1,21,2026-08-21,2026-08-25,2026-08-26,26,34,60,25,34,59,1,Pass,high,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02,,,,,,,,,,
ANG,BENGO,NAMBUANGONGO,ANG-2023-07-01_bOPV,bOPV,Rnd1,21,2023-09-13,2023-09-17,2023-09-18,33,27,60,31,25,56,4,Fail,moderate,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,75,0,0.07,,,,,,,,,,
ANG,BENGO,NAMBUANGONGO,ANG-2023-07-01_bOPV,bOPV,Rnd2,21,2023-10-21,2023-10-25,2023-10-27,33,27,60,6,3,9,51,Fail,very poor,0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,98.04,0,0.85,,,,,,,,,,
ANG,BENGO,NAMBUANGONGO,ANG-2025-08-01_nOPV-NID,nOPV2,Rnd1,21,2025-08-15,2025-08-19,2025-08-20,26,34,60,26,34,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,NAMBUANGONGO,ANG-2025-08-01_nOPV-NID,nOPV2,Rnd2,21,2025-09-05,2025-09-09,2025-09-10,34,26,60,33,25,58,2,Pass,high,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03,,,,,,,,,,
ANG,BENGO,NAMBUANGONGO,ANG-2026-03-01_nOPV_NID,nOPV2,Rnd1,21,2026-03-27,2026-03-31,2026-04-01,32,28,60,30,28,58,2,Pass,high,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03,,,,,,,,,,
ANG,BENGO,NAMBUANGONGO,ANG-2026-03-01_nOPV_NID,nOPV2,Rnd2,21,2026-05-22,2026-05-26,2026-05-27,35,25,60,35,25,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,NAMBUANGONGO,ANG-2026-08-02_nOPV_NID,nOPV2,Rnd1,21,2026-08-21,2026-08-25,2026-08-26,27,33,60,26,31,57,3,Pass,high,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33.33,33.33,0,33.33,0,0,0,0.05,,,,,,,,,,
ANG,BENGO,NAMBUANGONGO,ANGOLA-NID-2024-nOPV2,nOPV2,Rnd1,21,2024-05-17,2024-05-21,2024-05-22,29,31,60,24,29,53,7,Fail,moderate,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.12,,,,,,,,,,
ANG,BENGO,NAMBUANGONGO,ANGOLA-NID-2024-nOPV2,nOPV2,Rnd2,21,2024-09-06,2024-09-10,2024-09-11,28,32,60,27,31,58,2,Pass,high,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0.03,,,,,,,,,,
ANG,BENGO,PANGO ALUQUEM,ANG-2023-07-01_bOPV,bOPV,Rnd1,12,2023-09-13,2023-09-17,2023-09-18,25,35,60,24,33,57,3,Pass,high,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.05,,,,,,,,,,
ANG,BENGO,PANGO ALUQUEM,ANG-2023-07-01_bOPV,bOPV,Rnd2,21,2023-10-22,2023-10-26,2023-10-27,35,25,60,28,21,49,11,Fail,poor,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.18,,,,,,,,,,
ANG,BENGO,PANGO ALUQUEM,ANG-2025-08-01_nOPV-NID,nOPV2,Rnd1,21,2025-08-15,2025-08-19,2025-08-20,25,35,60,25,35,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,PANGO ALUQUEM,ANG-2025-08-01_nOPV-NID,nOPV2,Rnd2,21,2025-09-05,2025-09-09,2025-09-10,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,PANGO ALUQUEM,ANG-2026-03-01_nOPV_NID,nOPV2,Rnd1,21,2026-03-27,2026-03-31,2026-04-01,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,PANGO ALUQUEM,ANG-2026-03-01_nOPV_NID,nOPV2,Rnd2,21,2026-05-22,2026-05-26,2026-05-27,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,PANGO ALUQUEM,ANG-2026-08-02_nOPV_NID,nOPV2,Rnd1,21,2026-08-21,2026-08-25,2026-08-26,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,PANGO ALUQUEM,ANGOLA-NID-2024-nOPV2,nOPV2,Rnd1,21,2024-05-17,2024-05-21,2024-05-22,33,27,60,32,25,57,3,Pass,high,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.05,,,,,,,,,,
ANG,BENGO,PANGO ALUQUEM,ANGOLA-NID-2024-nOPV2,nOPV2,Rnd2,21,2024-09-06,2024-09-10,2024-09-11,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,PANGUILA,ANG-2025-08-01_nOPV-NID,nOPV2,Rnd1,21,2025-08-15,2025-08-19,2025-08-20,32,28,60,28,27,55,5,Fail,moderate,0,0,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,0,40,0,0.08,,,,,,,,,,
ANG,BENGO,PANGUILA,ANG-2025-08-01_nOPV-NID,nOPV2,Rnd2,21,2025-09-05,2025-09-09,2025-09-10,38,22,60,38,22,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,PANGUILA,ANG-2026-03-01_nOPV_NID,nOPV2,Rnd1,12,2026-03-27,2026-03-31,2026-04-01,24,36,60,24,36,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,PANGUILA,ANG-2026-03-01_nOPV_NID,nOPV2,Rnd2,21,2026-05-22,2026-05-26,2026-05-27,29,31,60,27,29,56,4,Fail,moderate,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.07,,,,,,,,,,
ANG,BENGO,PANGUILA,ANG-2026-08-02_nOPV_NID,nOPV2,Rnd1,12,2026-08-21,2026-08-25,2026-08-26,27,33,60,27,32,59,1,Pass,high,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0.02,,,,,,,,,,
ANG,BENGO,PIRI,ANG-2025-08-01_nOPV-NID,nOPV2,Rnd1,21,2025-08-15,2025-08-19,2025-08-20,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,PIRI,ANG-2025-08-01_nOPV-NID,nOPV2,Rnd2,21,2025-09-05,2025-09-09,2025-09-10,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,PIRI,ANG-2026-03-01_nOPV_NID,nOPV2,Rnd1,21,2026-03-27,2026-03-31,2026-04-01,35,25,60,35,24,59,1,Pass,high,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02,,,,,,,,,,
ANG,BENGO,PIRI,ANG-2026-03-01_nOPV_NID,nOPV2,Rnd2,21,2026-05-22,2026-05-26,2026-05-27,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,PIRI,ANG-2026-08-02_nOPV_NID,nOPV2,Rnd1,21,2026-08-21,2026-08-25,2026-08-26,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,QUIBAXE,ANG-2025-08-01_nOPV-NID,nOPV2,Rnd1,21,2025-08-15,2025-08-19,2025-08-20,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,QUIBAXE,ANG-2025-08-01_nOPV-NID,nOPV2,Rnd2,21,2025-09-05,2025-09-09,2025-09-10,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,QUIBAXE,ANG-2026-03-01_nOPV_NID,nOPV2,Rnd1,21,2026-03-27,2026-03-31,2026-04-01,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,QUIBAXE,ANG-2026-03-01_nOPV_NID,nOPV2,Rnd2,21,2026-05-22,2026-05-26,2026-05-27,36,24,60,36,24,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,QUIBAXE,ANG-2026-08-02_nOPV_NID,nOPV2,Rnd1,21,2026-08-21,2026-08-25,2026-08-26,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,QUICUNZO,ANG-2025-08-01_nOPV-NID,nOPV2,Rnd1,21,2025-08-15,2025-08-19,2025-08-20,36,24,60,35,24,59,1,Pass,high,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.02,,,,,,,,,,
ANG,BENGO,QUICUNZO,ANG-2025-08-01_nOPV-NID,nOPV2,Rnd2,21,2025-09-05,2025-09-09,2025-09-10,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ANG,BENGO,QUICUNZO,ANG-2026-03-01_nOPV_NID,nOPV2,Rnd1,21,2026-03-27,2026-03-31,2026-04-01,32,28,60,32,27,59,1,Pass,high,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02,,,,,,,,,,
ANG,BENGO,QUICUNZO,ANG-2026-03-01_nOPV_NID,nOPV2,Rnd2,21,2026-05-22,2026-05-26,2026-05-27,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
